applicant_id,decision,reason,recommendation,inconsistency_flag
APP100000,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100001,Declined,Income above threshold,No financial support; enablement recommended,False
APP100002,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100003,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100004,Declined,Income above threshold,No financial support; enablement recommended,False
APP100005,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100006,Declined,Income above threshold,No financial support; enablement recommended,False
APP100007,Declined,Income above threshold,No financial support; enablement recommended,True
APP100008,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100009,Declined,Income above threshold,No financial support; enablement recommended,False
APP100010,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100011,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100012,Declined,Income above threshold,No financial support; enablement recommended,False
APP100013,Declined,Income above threshold,No financial support; enablement recommended,False
APP100014,Declined,Income above threshold,No financial support; enablement recommended,False
APP100015,Declined,Income above threshold,No financial support; enablement recommended,False
APP100016,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100017,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100018,Declined,Income above threshold,No financial support; enablement recommended,False
APP100019,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100020,Declined,Income above threshold,No financial support; enablement recommended,False
APP100021,Declined,Income above threshold,No financial support; enablement recommended,False
APP100022,Approved,Borderline income,Career counseling / Short-term stipend,True
APP100023,Approved,Borderline income,Career counseling / Short-term stipend,False
APP100024,Needs Review,Borderline income,Career counseling / Short-term stipend,False
APP100025,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100026,Declined,Income above threshold,No financial support; enablement recommended,False
APP100027,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100028,Declined,Income above threshold,No financial support; enablement recommended,False
APP100029,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100030,Needs Review,Borderline income,Career counseling / Short-term stipend,False
APP100031,Needs Review,Borderline income,Career counseling / Short-term stipend,False
APP100032,Declined,Income above threshold,No financial support; enablement recommended,False
APP100033,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100034,Declined,Income above threshold,No financial support; enablement recommended,False
APP100035,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100036,Approved,Low per-capita income,Upskilling program / Job placement,False
APP100037,Declined,Income above threshold,No financial support; enablement recommended,False
APP100038,Approved,Low per-capita income,Upskilling program / Job placement,False
